timestamp,nav,cash,gross_exposure,net_exposure,leverage,daily_pnl,drawdown
1623715200000000000,921968,667007,254961,254961,0.27654,1442.43,0.0871631
1623801600000000000,923872,667007,256865,256865,0.27803,1903.61,0.0852783
1623888000000000000,921425,667007,254418,254418,0.276113,-2446.86,0.087701
1623974400000000000,922506,667007,255498,255498,0.276961,1080.81,0.0866308
1624060800000000000,928110,667007,261103,261103,0.281327,5604.31,0.0810821
1624147200000000000,933166,667007,266159,266159,0.285221,5056.12,0.076076
1624233600000000000,931641,667007,264633,264633,0.284051,-1525.51,0.0775864
1624320000000000000,931856,667007,264849,264849,0.284216,215.553,0.077373
1624406400000000000,928365,667007,261358,261358,0.281525,-3491.45,0.0808299
1624492800000000000,930763,667007,263756,263756,0.283376,2398.31,0.0784553
1624579200000000000,932697,667007,265689,265689,0.284861,1933.46,0.076541
1624665600000000000,931546,667007,264539,264539,0.283978,-1150.69,0.0776803
1624752000000000000,931024,667007,264016,264016,0.283576,-522.326,0.0781974
1624838400000000000,933517,667007,266509,266509,0.285489,2492.88,0.0757292
1624924800000000000,929632,667007,262625,262625,0.282504,-3884.45,0.0795752
1625011200000000000,936377,667007,269370,269370,0.287672,6744.89,0.0728971
1625097600000000000,934584,667007,267576,267576,0.286305,-1793.39,0.0746728
1625184000000000000,932252,667007,265244,265244,0.28452,-2332.04,0.0769817
1625270400000000000,934360,667007,267352,267352,0.286134,2107.88,0.0748947
1625356800000000000,933249,667007,266242,266242,0.285285,-1110.21,0.0759939
1625443200000000000,932833,667007,265826,265826,0.284966,-415.804,0.0764056
1625529600000000000,937695,725148,212547,212547,0.22667,4861.19,0.0715926
1625616000000000000,935790,622053,313737,313737,0.335265,-1904.45,0.0734781
1625702400000000000,936958,583117,353841,353841,0.377649,1167.65,0.0723221
1625788800000000000,934571,583117,351454,351454,0.376059,-2387.18,0.0746856
1625875200000000000,935563,583117,352446,352446,0.376721,992.205,0.0737032
1625961600000000000,938157,583117,355040,355040,0.378444,2594.53,0.0711344
1626048000000000000,939077,583117,355960,355960,0.379053,919.899,0.0702236
1626134400000000000,936571,583117,353454,353454,0.377391,-2506.55,0.0727053
